model,step,train_action_l1,val_seen_action_l1,val_D_action_l1,val_D_success_rate
act_A,1,0.5404660701751709,0.4993872046470642,0.4957644045352936,0.015625
act_A,20,0.2714877128601074,0.24465236067771912,0.35636043548583984,0.109375
act_A,40,0.13311034440994263,0.1193385198712349,0.28838813304901123,0.28515625
act_A,60,0.10746128857135773,0.10084759443998337,0.2831574082374573,0.29296875
act_A,80,0.09463836997747421,0.09100843966007233,0.28400951623916626,0.234375
act_A,100,0.08131587505340576,0.08301804214715958,0.2943594753742218,0.22265625
act_A,120,0.09181800484657288,0.07608576118946075,0.2951198220252991,0.22265625
act_A,140,0.07906842231750488,0.07374805212020874,0.2936798930168152,0.23828125
act_A,160,0.07265333831310272,0.06854875385761261,0.3082355260848999,0.18359375
act_A,180,0.06815734505653381,0.06147807836532593,0.31235742568969727,0.18359375
act_A,200,0.06292645633220673,0.05866681784391403,0.31153181195259094,0.1953125
act_A,220,0.05879535526037216,0.053905412554740906,0.31451451778411865,0.1875
act_A,240,0.05770150572061539,0.051317304372787476,0.3132579028606415,0.1875
act_A,260,0.05286777764558792,0.04869823157787323,0.3107754588127136,0.1953125
act_A,280,0.05496007949113846,0.047720737755298615,0.30515801906585693,0.203125
act_A,300,0.05393493175506592,0.045232824981212616,0.3086916208267212,0.21484375
act_A,320,0.05443202331662178,0.04444655030965805,0.3117629885673523,0.19140625
act_A,340,0.04760224372148514,0.04311739280819893,0.3086434006690979,0.19921875
act_A,360,0.04769987612962723,0.04260165989398956,0.3144095540046692,0.18359375
act_A,380,0.0478048212826252,0.0441121831536293,0.3188974857330322,0.171875
act_A,400,0.043980952352285385,0.040396977216005325,0.3145860433578491,0.18359375
act_A,420,0.048818014562129974,0.04117218777537346,0.3049624562263489,0.21875
act_A,440,0.052126333117485046,0.04156781733036041,0.30658096075057983,0.19921875
act_A,460,0.04823380708694458,0.0408683642745018,0.3080907166004181,0.203125
act_A,480,0.04432667791843414,0.03888881206512451,0.3096654415130615,0.19921875
act_A,500,0.04456610977649689,0.039518602192401886,0.3049735724925995,0.203125
act_A,520,0.04370972514152527,0.03944353759288788,0.3036934435367584,0.22265625
act_A,540,0.04194562882184982,0.039578717201948166,0.30960869789123535,0.1953125
act_A,560,0.043672505766153336,0.0406060591340065,0.31127285957336426,0.21875
act_A,580,0.04213367775082588,0.03810424357652664,0.3105635941028595,0.19921875
act_A,600,0.04467231035232544,0.04016917571425438,0.30338388681411743,0.23046875
act_A,620,0.04482440650463104,0.037624869495630264,0.30995476245880127,0.19140625
act_A,640,0.04665277153253555,0.037953682243824005,0.3092856705188751,0.19921875
act_A,660,0.04090341925621033,0.03823433071374893,0.3053649067878723,0.22265625
act_A,680,0.04113803803920746,0.03845277801156044,0.3065342307090759,0.2265625
act_A,700,0.0465795174241066,0.03854559361934662,0.30548959970474243,0.2421875
act_A,720,0.0373837985098362,0.0365290604531765,0.3032132685184479,0.2265625
act_A,740,0.03987099975347519,0.03810950368642807,0.30970555543899536,0.22265625
act_A,760,0.040748633444309235,0.03641066700220108,0.30376675724983215,0.23828125
act_A,780,0.04254824295639992,0.03745332360267639,0.30769479274749756,0.23046875
act_A,800,0.04299018532037735,0.037659354507923126,0.3034474849700928,0.23828125
