model,step,train_action_l1,val_seen_action_l1,val_D_action_l1,val_D_success_rate
act_ABC,1,0.5288218259811401,0.49609479308128357,0.49482256174087524,0.01171875
act_ABC,20,0.3148185610771179,0.28631559014320374,0.2728426158428192,0.3046875
act_ABC,40,0.15237188339233398,0.13718611001968384,0.14774827659130096,0.93359375
act_ABC,60,0.11982168257236481,0.10896653681993484,0.11652480065822601,0.96875
act_ABC,80,0.10765551030635834,0.09720609337091446,0.10326478630304337,0.984375
act_ABC,100,0.10634393244981766,0.09013267606496811,0.09776973724365234,0.98046875
act_ABC,120,0.08890941739082336,0.08494474738836288,0.08859915286302567,0.98828125
act_ABC,140,0.08641630411148071,0.07868687063455582,0.0830591470003128,0.98828125
act_ABC,160,0.08634299039840698,0.073449045419693,0.07798446714878082,0.9921875
act_ABC,180,0.08242407441139221,0.06803850084543228,0.07387420535087585,0.9921875
act_ABC,200,0.06914328038692474,0.06653846055269241,0.06755055487155914,0.9921875
act_ABC,220,0.06366559863090515,0.05949161574244499,0.06280338764190674,0.99609375
act_ABC,240,0.06176721304655075,0.05664929747581482,0.058981236070394516,0.99609375
act_ABC,260,0.06109379976987839,0.053847309201955795,0.0555439367890358,1.0
act_ABC,280,0.058579713106155396,0.051834236830472946,0.055125534534454346,1.0
act_ABC,300,0.06316564977169037,0.04863192141056061,0.05098482221364975,1.0
act_ABC,320,0.054969508200883865,0.0484498105943203,0.05226467549800873,1.0
act_ABC,340,0.057618170976638794,0.04791390895843506,0.051772333681583405,1.0
act_ABC,360,0.05594205483794212,0.04787064716219902,0.04876260086894035,1.0
act_ABC,380,0.06329689174890518,0.04654771462082863,0.04794898256659508,1.0
act_ABC,400,0.059080664068460464,0.04549923539161682,0.04763718694448471,1.0
act_ABC,420,0.05534260720014572,0.04412582516670227,0.04805595427751541,1.0
act_ABC,440,0.05139852687716484,0.04334573820233345,0.04498104751110077,1.0
act_ABC,460,0.049677036702632904,0.04354057088494301,0.04551664739847183,1.0
act_ABC,480,0.05013321340084076,0.043149132281541824,0.04383935034275055,1.0
act_ABC,500,0.04775165393948555,0.04147479310631752,0.04568783938884735,1.0
act_ABC,520,0.04769234359264374,0.041972797363996506,0.04422991722822189,1.0
act_ABC,540,0.05277419835329056,0.044023822993040085,0.04473820701241493,1.0
act_ABC,560,0.047505754977464676,0.0418681837618351,0.04312056303024292,1.0
act_ABC,580,0.04783912003040314,0.041785020381212234,0.0458935871720314,1.0
act_ABC,600,0.04440104961395264,0.04170882701873779,0.04382673650979996,1.0
act_ABC,620,0.047189727425575256,0.04147329553961754,0.04263006150722504,1.0
act_ABC,640,0.050284095108509064,0.04104585945606232,0.04086877405643463,1.0
act_ABC,660,0.051471732556819916,0.04115971922874451,0.04357082396745682,1.0
act_ABC,680,0.0416836142539978,0.04036523401737213,0.044031474739313126,1.0
act_ABC,700,0.047311119735240936,0.03916144371032715,0.042097970843315125,1.0
act_ABC,720,0.05276606231927872,0.03886159136891365,0.04002843797206879,1.0
act_ABC,740,0.04301075637340546,0.03830555081367493,0.04290161281824112,1.0
act_ABC,760,0.04623791575431824,0.039972707629203796,0.04079235717654228,1.0
act_ABC,780,0.048809964209795,0.039426811039447784,0.042096659541130066,1.0
act_ABC,800,0.04594283550977707,0.03858378902077675,0.04089638590812683,1.0
